Time,angry,disgust,fear,happy,sad,surprise,neutral
21:32:56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:32:57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:32:58,10.40,0.01,15.89,12.76,13.97,0.21,46.77
21:32:59,0.11,0.00,91.57,0.11,0.05,8.13,0.02
21:33:00,1.72,0.00,77.07,3.65,16.71,0.00,0.84
21:33:01,63.20,0.05,14.31,7.20,10.33,0.04,4.88
21:33:02,86.38,0.06,1.25,8.96,1.84,0.00,1.51
21:33:03,42.94,0.25,8.84,44.58,3.09,0.00,0.30
21:33:04,11.25,0.05,1.09,86.11,0.94,0.00,0.56
21:33:05,8.23,0.06,0.66,90.79,0.19,0.00,0.07
21:33:06,0.07,0.00,0.01,99.92,0.00,0.00,0.00
21:33:07,25.30,0.23,9.51,62.00,2.45,0.00,0.51
21:33:08,1.06,0.01,6.75,91.72,0.11,0.00,0.34
21:33:09,0.00,0.00,0.10,97.67,0.01,0.00,2.22
21:33:10,0.06,0.00,0.00,99.94,0.00,0.00,0.00
21:33:11,0.04,1.14,0.45,79.16,4.00,0.01,15.20
21:33:12,0.03,0.65,6.67,59.59,0.76,0.06,32.24
21:33:13,15.73,0.04,2.95,2.76,70.28,0.01,8.24
21:33:14,15.21,0.22,7.74,0.00,63.48,0.00,13.34
21:33:15,99.94,0.00,0.01,0.00,0.04,0.00,0.02
21:33:16,0.71,0.00,11.79,2.06,6.17,0.04,79.23
21:33:17,0.68,0.00,37.37,0.00,61.75,0.00,0.20
21:33:18,10.42,0.00,6.31,13.33,3.66,0.33,65.96
21:33:19,0.48,0.00,0.83,2.49,8.01,0.00,88.19
21:33:20,0.04,0.00,0.04,0.01,0.90,0.00,99.01
21:33:21,0.45,0.00,0.09,2.11,1.91,0.00,95.44
21:33:22,3.24,0.00,2.77,60.74,9.07,0.12,24.06
21:33:23,3.47,0.00,0.66,24.63,2.85,0.01,68.38
21:33:24,1.64,0.00,0.60,1.38,1.55,0.03,94.79
21:33:25,7.23,0.00,20.86,0.01,15.59,0.01,56.28
21:33:26,4.51,0.00,0.33,87.50,0.92,0.07,6.68
21:33:27,0.51,0.00,0.01,99.44,0.02,0.00,0.03
21:33:28,1.32,0.00,0.52,97.23,0.10,0.02,0.81
21:33:29,6.21,0.00,0.07,93.09,0.41,0.00,0.21
21:33:30,36.39,0.01,0.14,57.84,2.37,0.01,3.24
21:33:31,34.62,0.01,2.54,9.01,38.21,0.02,15.59
21:33:32,3.33,0.00,4.44,0.54,9.94,81.56,0.19
21:33:33,5.39,0.00,0.60,0.08,20.98,0.00,72.95
21:33:34,96.71,0.00,2.83,0.02,0.43,0.00,0.01
21:33:35,63.95,0.61,15.19,5.86,0.79,0.25,13.35
21:33:36,0.00,0.00,0.00,99.92,0.00,0.00,0.08
21:33:37,0.00,0.00,0.00,78.89,0.00,0.00,21.10
21:33:38,0.00,0.00,0.00,99.90,0.00,0.00,0.10
21:33:39,0.18,0.00,0.03,70.50,15.87,0.00,13.41
21:33:40,0.18,0.00,0.03,70.50,15.87,0.00,13.41
21:33:41,0.05,0.00,0.03,98.41,0.11,0.86,0.55
21:33:42,0.04,0.00,0.01,7.98,91.68,0.00,0.28
21:33:43,0.39,0.01,0.29,2.99,91.13,0.00,5.19
21:33:44,0.08,0.00,0.02,0.62,99.00,0.00,0.28
21:33:45,0.08,0.00,0.02,0.62,99.00,0.00,0.28
21:33:46,5.93,0.11,23.08,68.01,2.62,0.11,0.15
21:33:47,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:48,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:49,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:50,0.63,0.01,4.00,0.17,93.60,0.00,1.59
21:33:51,1.13,0.00,2.23,11.19,10.46,0.05,74.94
21:33:52,17.55,0.00,0.00,76.87,1.62,0.01,3.94
21:33:53,52.64,0.00,0.03,46.97,0.07,0.23,0.05
21:33:54,0.45,0.00,1.90,0.94,12.03,0.03,84.64
21:33:55,0.02,0.00,0.01,22.42,77.53,0.02,0.00
21:33:56,1.77,0.00,0.03,15.22,10.01,0.02,72.94
21:33:57,0.76,0.00,5.53,0.64,87.63,0.00,5.44
21:33:58,1.30,0.01,7.46,36.83,18.56,0.23,35.61
21:34:00,19.92,10.32,35.36,2.83,27.87,3.08,0.62
